"Date","CUST","SKU","SALES","Forecast_Type"
2015-06-03,"7577","12GL",0,"ACTUAL"
2015-06-04,"7577","12GL",5,"ACTUAL"
2015-06-05,"7577","12GL",0,"ACTUAL"
2015-06-06,"7577","12GL",6,"ACTUAL"
2015-06-07,"7577","12GL",2,"ACTUAL"
2015-06-08,"7577","12GL",7,"ACTUAL"
2015-06-09,"7577","12GL",0,"ACTUAL"
2015-06-10,"7577","12GL",0,"ACTUAL"
2015-06-11,"7577","12GL",1,"ACTUAL"
2015-06-12,"7577","12GL",3,"ACTUAL"
2015-06-13,"7577","12GL",0,"ACTUAL"
2015-06-14,"7577","12GL",5,"ACTUAL"
2015-06-15,"7577","12GL",0,"ACTUAL"
2015-06-16,"7577","12GL",5,"ACTUAL"
2015-06-17,"7577","12GL",0,"ACTUAL"
2015-06-18,"7577","12GL",0,"ACTUAL"
2015-06-19,"7577","12GL",0,"ACTUAL"
