Date,CUST,SKU,SALES,Forecast_Type
5/7/2015,7577,12GL,0,ACTUAL
5/8/2015,7577,12GL,0,ACTUAL
5/9/2015,7577,12GL,4,ACTUAL
5/10/2015,7577,12GL,3,ACTUAL
5/11/2015,7577,12GL,0,ACTUAL
5/12/2015,7577,12GL,0,ACTUAL
5/13/2015,7577,12GL,4,ACTUAL
5/14/2015,7577,12GL,0,ACTUAL
5/15/2015,7577,12GL,0,ACTUAL
5/16/2015,7577,12GL,0,ACTUAL
5/17/2015,7577,12GL,8,ACTUAL
5/18/2015,7577,12GL,0,ACTUAL
5/19/2015,7577,12GL,4,ACTUAL
5/20/2015,7577,12GL,0,ACTUAL
5/21/2015,7577,12GL,1,ACTUAL
5/22/2015,7577,12GL,0,ACTUAL
5/23/2015,7577,12GL,7,ACTUAL
5/24/2015,7577,12GL,0,ACTUAL
5/25/2015,7577,12GL,4,ACTUAL
5/26/2015,7577,12GL,0,ACTUAL
5/27/2015,7577,12GL,4,ACTUAL
5/28/2015,7577,12GL,0,ACTUAL
5/29/2015,7577,12GL,5,ACTUAL
5/30/2015,7577,12GL,0,ACTUAL
5/31/2015,7577,12GL,4,ACTUAL
6/1/2015,7577,12GL,3,ACTUAL
6/2/2015,7577,12GL,0,ACTUAL
6/3/2015,7577,12GL,0,ACTUAL
6/4/2015,7577,12GL,5,ACTUAL
6/5/2015,7577,12GL,0,ACTUAL
6/6/2015,7577,12GL,6,ACTUAL
6/7/2015,7577,12GL,2,ACTUAL
6/8/2015,7577,12GL,7,ACTUAL
6/9/2015,7577,12GL,0,ACTUAL
6/10/2015,7577,12GL,0,ACTUAL
6/11/2015,7577,12GL,1,ACTUAL
6/12/2015,7577,12GL,3,ACTUAL
6/13/2015,7577,12GL,0,ACTUAL
6/14/2015,7577,12GL,5,ACTUAL
6/15/2015,7577,12GL,0,ACTUAL
6/16/2015,7577,12GL,5,ACTUAL
6/17/2015,7577,12GL,0,ACTUAL
6/18/2015,7577,12GL,0,ACTUAL
6/19/2015,7577,12GL,0,ACTUAL
6/20/2015,7577,12GL,5,ACTUAL
6/21/2015,7577,12GL,0,ACTUAL
6/22/2015,7577,12GL,4,ACTUAL
6/23/2015,7577,12GL,0,ACTUAL
6/24/2015,7577,12GL,6,ACTUAL
6/25/2015,7577,12GL,0,ACTUAL
6/26/2015,7577,12GL,1,ACTUAL
6/27/2015,7577,12GL,0,ACTUAL
6/28/2015,7577,12GL,5,ACTUAL
6/29/2015,7577,12GL,0,ACTUAL
6/30/2015,7577,12GL,3,ACTUAL
7/1/2015,7577,12GL,0,ACTUAL
7/2/2015,7577,12GL,7,ACTUAL
7/3/2015,7577,12GL,8,ACTUAL
7/4/2015,7577,12GL,0,ACTUAL
7/5/2015,7577,12GL,0,ACTUAL
7/6/2015,7577,12GL,0,ACTUAL
7/7/2015,7577,12GL,0,ACTUAL
7/8/2015,7577,12GL,0,ACTUAL
7/9/2015,7577,12GL,7,ACTUAL
7/10/2015,7577,12GL,1,ACTUAL
7/11/2015,7577,12GL,0,ACTUAL
7/12/2015,7577,12GL,0,ACTUAL
7/13/2015,7577,12GL,5,ACTUAL
7/14/2015,7577,12GL,0,ACTUAL
7/15/2015,7577,12GL,4,ACTUAL
7/16/2015,7577,12GL,0,ACTUAL
7/17/2015,7577,12GL,1,ACTUAL
7/18/2015,7577,12GL,0,ACTUAL
7/19/2015,7577,12GL,5,ACTUAL
7/20/2015,7577,12GL,0,ACTUAL
7/21/2015,7577,12GL,2,ACTUAL
7/22/2015,7577,12GL,0,ACTUAL
7/23/2015,7577,12GL,3,ACTUAL
7/24/2015,7577,12GL,0,ACTUAL
7/25/2015,7577,12GL,6,ACTUAL
7/26/2015,7577,12GL,0,ACTUAL
7/27/2015,7577,12GL,2,ACTUAL
7/28/2015,7577,12GL,0,ACTUAL
7/29/2015,7577,12GL,3,ACTUAL
7/30/2015,7577,12GL,0,ACTUAL
7/31/2015,7577,12GL,5,ACTUAL
8/1/2015,7577,12GL,5,ACTUAL
8/2/2015,7577,12GL,0,ACTUAL
8/3/2015,7577,12GL,0,ACTUAL
8/4/2015,7577,12GL,2,ACTUAL
8/5/2015,7577,12GL,0,ACTUAL
8/6/2015,7577,12GL,2,ACTUAL
8/7/2015,7577,12GL,5,ACTUAL
8/8/2015,7577,12GL,1,ACTUAL
8/9/2015,7577,12GL,0,ACTUAL
8/10/2015,7577,12GL,0,ACTUAL
8/11/2015,7577,12GL,5,ACTUAL
8/12/2015,7577,12GL,1,ACTUAL
8/13/2015,7577,12GL,0,ACTUAL
8/14/2015,7577,12GL,2,ACTUAL
8/15/2015,7577,12GL,0,ACTUAL
8/16/2015,7577,12GL,3,ACTUAL
8/17/2015,7577,12GL,0,ACTUAL
8/18/2015,7577,12GL,1,ACTUAL
8/19/2015,7577,12GL,0,ACTUAL
8/20/2015,7577,12GL,1,ACTUAL
8/21/2015,7577,12GL,0,ACTUAL
8/22/2015,7577,12GL,1,ACTUAL
8/23/2015,7577,12GL,0,ACTUAL
8/24/2015,7577,12GL,6,ACTUAL
8/25/2015,7577,12GL,0,ACTUAL
8/26/2015,7577,12GL,2,ACTUAL
8/27/2015,7577,12GL,0,ACTUAL
8/28/2015,7577,12GL,7,ACTUAL
